Start,End,MIS,State
0,10.0,1,1
10.0,128.0,2,0
10.0,128.0,5e,1
128.0,217.0,6,0
128.0,217.0,7a-c,1
217.0,242.0,7d,0
217.0,242.0,7e,1
242.0,334.0,8,0
242.0,334.0,9e,1
334.0,419.0,10,0
334.0,419.0,11c,1
419.0,493.0,12,0
419.0,493.0,13a,1
493.0,580.0,14,0
493.0,580.0,15a,1
580.0,618.0,15b,0
580.0,618.0,15e,1
618.0,698.0,16,0
618.0,698.0,17,1
698.0,788.0,18,0
698.0,788.0,19c,1
788.0,865.0,20,0
788.0,865.0,21e,1
865.0,958.0,22,0
865.0,958.0,25,1
958.0,978.0,26,0
958.0,978.0,27,1
978.0,1024.0,28,0
978.0,1024.0,29,1
1024.0,1083.0,30,0
1024.0,1083.0,31,1
1083.0,1110.0,32,0
1083.0,1110.0,33,1
1110.0,1188.0,34,0
1110.0,1188.0,35,1
1188.0,1244.0,36,0
1188.0,1244.0,37,1
1244.0,1282.0,38,0
1244.0,1282.0,39,1
1282.0,1318.0,40,0
1282.0,1318.0,41,1
1318.0,1361.0,42,0
1318.0,1361.0,43,1
1361.0,1401.0,44,0
1361.0,1401.0,45,1
1401.0,1452.0,46,0
1401.0,1452.0,47,1
1452.0,1492.0,48,0
1452.0,1492.0,49,1
